0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.0,100.0,7.0,92.0,5.0,68.0,19.0,45.0,86.0,34.0,100.0,45.0,74.0,23.0,67.0,0.0,4.0
48.0,96.0,62.0,65.0,88.0,27.0,21.0,0.0,21.0,33.0,79.0,67.0,100.0,100.0,0.0,85.0,8.0
99.0,80.0,63.0,100.0,25.0,76.0,79.0,68.0,100.0,62.0,97.0,23.0,54.0,0.0,0.0,16.0,9.0
0.0,46.0,49.0,64.0,78.0,87.0,100.0,100.0,91.0,75.0,85.0,49.0,75.0,24.0,89.0,0.0,1.0
11.0,100.0,0.0,69.0,15.0,43.0,87.0,47.0,100.0,65.0,74.0,67.0,71.0,33.0,66.0,0.0,4.0
5.0,90.0,46.0,98.0,89.0,100.0,100.0,81.0,77.0,59.0,62.0,34.0,37.0,14.0,0.0,0.0,3.0
0.0,84.0,50.0,100.0,72.0,79.0,37.0,52.0,51.0,41.0,100.0,27.0,62.0,3.0,3.0,0.0,3.0
100.0,100.0,63.0,78.0,28.0,53.0,0.0,27.0,4.0,0.0,60.0,1.0,78.0,22.0,24.0,21.0,6.0
20.0,85.0,62.0,100.0,71.0,72.0,45.0,52.0,98.0,47.0,100.0,17.0,53.0,0.0,0.0,0.0,3.0
73.0,98.0,35.0,100.0,0.0,59.0,0.0,13.0,71.0,8.0,100.0,45.0,29.0,41.0,9.0,0.0,6.0
45.0,100.0,10.0,67.0,7.0,16.0,56.0,0.0,100.0,31.0,91.0,79.0,38.0,95.0,0.0,61.0,0.0
49.0,83.0,8.0,57.0,0.0,17.0,51.0,0.0,93.0,28.0,100.0,70.0,61.0,100.0,8.0,86.0,0.0
68.0,100.0,24.0,83.0,0.0,41.0,13.0,0.0,60.0,3.0,99.0,30.0,100.0,71.0,55.0,89.0,0.0
45.0,85.0,93.0,100.0,100.0,98.0,48.0,88.0,7.0,62.0,48.0,48.0,48.0,18.0,0.0,0.0,5.0
0.0,91.0,46.0,100.0,85.0,80.0,91.0,40.0,88.0,0.0,99.0,22.0,100.0,52.0,50.0,49.0,7.0
98.0,100.0,52.0,77.0,18.0,52.0,0.0,25.0,25.0,0.0,100.0,5.0,97.0,29.0,23.0,22.0,6.0
53.0,100.0,23.0,77.0,0.0,57.0,74.0,66.0,100.0,79.0,70.0,85.0,44.0,42.0,16.0,0.0,4.0
58.0,100.0,0.0,89.0,44.0,53.0,100.0,21.0,63.0,0.0,62.0,36.0,87.0,80.0,25.0,91.0,8.0
78.0,85.0,65.0,66.0,100.0,25.0,49.0,0.0,15.0,29.0,58.0,67.0,66.0,100.0,0.0,84.0,8.0
67.0,97.0,19.0,74.0,0.0,30.0,34.0,0.0,79.0,32.0,100.0,76.0,58.0,100.0,10.0,73.0,0.0
85.0,100.0,56.0,72.0,42.0,39.0,55.0,7.0,100.0,0.0,95.0,30.0,46.0,37.0,0.0,23.0,6.0
100.0,100.0,50.0,98.0,16.0,67.0,0.0,30.0,26.0,0.0,80.0,8.0,81.0,34.0,29.0,24.0,6.0
45.0,100.0,1.0,67.0,0.0,24.0,69.0,24.0,100.0,48.0,73.0,98.0,80.0,53.0,90.0,0.0,4.0
100.0,100.0,59.0,78.0,25.0,52.0,0.0,24.0,16.0,0.0,79.0,8.0,70.0,29.0,7.0,27.0,6.0
55.0,76.0,22.0,68.0,66.0,29.0,39.0,0.0,52.0,32.0,100.0,68.0,69.0,100.0,0.0,86.0,8.0
0.0,89.0,28.0,100.0,64.0,85.0,43.0,61.0,9.0,44.0,23.0,21.0,62.0,11.0,100.0,0.0,2.0
22.0,83.0,62.0,100.0,92.0,78.0,51.0,53.0,55.0,37.0,100.0,17.0,55.0,0.0,0.0,7.0,3.0
100.0,100.0,44.0,91.0,7.0,60.0,0.0,24.0,46.0,0.0,99.0,24.0,41.0,30.0,19.0,0.0,6.0
0.0,83.0,37.0,100.0,81.0,90.0,65.0,61.0,100.0,45.0,97.0,15.0,54.0,0.0,14.0,7.0,3.0
86.0,79.0,47.0,100.0,18.0,62.0,65.0,27.0,66.0,0.0,0.0,3.0,46.0,39.0,100.0,71.0,8.0
19.0,88.0,62.0,100.0,100.0,81.0,83.0,48.0,47.0,23.0,0.0,6.0,18.0,0.0,72.0,1.0,2.0
11.0,50.0,0.0,16.0,38.0,0.0,79.0,8.0,100.0,46.0,76.0,84.0,37.0,100.0,0.0,84.0,0.0
13.0,71.0,40.0,100.0,65.0,69.0,41.0,34.0,0.0,12.0,2.0,8.0,51.0,6.0,100.0,0.0,2.0
0.0,98.0,4.0,100.0,59.0,100.0,100.0,87.0,96.0,64.0,75.0,43.0,51.0,22.0,40.0,0.0,7.0
63.0,77.0,30.0,100.0,0.0,59.0,12.0,13.0,67.0,0.0,100.0,37.0,88.0,83.0,34.0,88.0,0.0
64.0,100.0,34.0,73.0,100.0,39.0,94.0,3.0,0.0,0.0,38.0,38.0,90.0,74.0,76.0,95.0,8.0
7.0,89.0,0.0,45.0,16.0,5.0,51.0,0.0,84.0,20.0,100.0,61.0,84.0,100.0,50.0,98.0,0.0
84.0,81.0,39.0,100.0,0.0,66.0,9.0,18.0,60.0,0.0,100.0,33.0,89.0,80.0,36.0,92.0,0.0
58.0,85.0,100.0,100.0,87.0,94.0,52.0,72.0,59.0,43.0,85.0,27.0,47.0,2.0,0.0,0.0,5.0
0.0,100.0,17.0,94.0,8.0,64.0,24.0,37.0,70.0,41.0,100.0,57.0,87.0,28.0,100.0,0.0,4.0
100.0,100.0,81.0,81.0,39.0,55.0,0.0,28.0,8.0,0.0,75.0,4.0,66.0,31.0,12.0,25.0,6.0
100.0,100.0,66.0,94.0,38.0,70.0,15.0,45.0,0.0,18.0,26.0,0.0,55.0,16.0,11.0,24.0,6.0
41.0,96.0,99.0,100.0,100.0,74.0,58.0,38.0,28.0,0.0,7.0,16.0,0.0,45.0,80.0,34.0,7.0
100.0,100.0,50.0,76.0,0.0,36.0,76.0,35.0,99.0,62.0,89.0,96.0,80.0,45.0,72.0,0.0,4.0
