0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
50.0,84.0,66.0,100.0,75.0,75.0,51.0,51.0,100.0,42.0,97.0,13.0,49.0,0.0,0.0,7.0,3.0
0.0,73.0,19.0,99.0,72.0,100.0,70.0,73.0,32.0,48.0,5.0,18.0,46.0,0.0,100.0,0.0,2.0
0.0,0.0,31.0,15.0,63.0,30.0,88.0,52.0,100.0,79.0,82.0,100.0,56.0,82.0,79.0,64.0,9.0
37.0,91.0,84.0,100.0,100.0,96.0,52.0,87.0,32.0,57.0,74.0,38.0,41.0,1.0,0.0,0.0,5.0
0.0,75.0,31.0,72.0,67.0,84.0,100.0,100.0,94.0,82.0,80.0,54.0,68.0,27.0,56.0,0.0,1.0
100.0,89.0,40.0,83.0,63.0,40.0,84.0,0.0,0.0,7.0,53.0,53.0,80.0,100.0,3.0,78.0,8.0
19.0,100.0,4.0,77.0,0.0,51.0,46.0,36.0,100.0,47.0,96.0,49.0,87.0,23.0,77.0,0.0,4.0
48.0,100.0,15.0,83.0,0.0,39.0,23.0,1.0,71.0,0.0,100.0,34.0,86.0,77.0,44.0,98.0,0.0
95.0,68.0,77.0,100.0,21.0,76.0,60.0,38.0,68.0,0.0,0.0,15.0,29.0,53.0,100.0,81.0,8.0
70.0,100.0,46.0,70.0,12.0,38.0,0.0,25.0,52.0,29.0,100.0,41.0,96.0,38.0,90.0,0.0,4.0
42.0,100.0,34.0,73.0,0.0,42.0,2.0,42.0,62.0,36.0,100.0,59.0,92.0,35.0,87.0,0.0,4.0
36.0,63.0,0.0,67.0,53.0,84.0,100.0,100.0,83.0,74.0,66.0,47.0,53.0,21.0,51.0,0.0,1.0
0.0,76.0,24.0,100.0,65.0,97.0,61.0,63.0,40.0,31.0,6.0,5.0,51.0,2.0,100.0,0.0,2.0
50.0,86.0,17.0,60.0,0.0,27.0,21.0,0.0,70.0,9.0,100.0,37.0,91.0,70.0,63.0,100.0,0.0
25.0,76.0,45.0,100.0,77.0,66.0,57.0,25.0,9.0,3.0,0.0,7.0,53.0,6.0,100.0,0.0,2.0
6.0,74.0,0.0,32.0,38.0,0.0,90.0,14.0,100.0,64.0,67.0,100.0,18.0,78.0,16.0,34.0,0.0
0.0,84.0,25.0,100.0,58.0,74.0,51.0,37.0,38.0,0.0,15.0,20.0,43.0,33.0,100.0,32.0,7.0
100.0,69.0,78.0,100.0,37.0,85.0,83.0,77.0,91.0,52.0,97.0,15.0,51.0,0.0,0.0,0.0,9.0
100.0,81.0,55.0,54.0,0.0,63.0,23.0,95.0,84.0,100.0,94.0,64.0,74.0,29.0,35.0,0.0,9.0
0.0,98.0,51.0,100.0,100.0,87.0,76.0,48.0,60.0,8.0,46.0,0.0,3.0,24.0,94.0,26.0,7.0
20.0,85.0,0.0,61.0,18.0,22.0,50.0,0.0,86.0,11.0,100.0,51.0,79.0,87.0,45.0,100.0,0.0
0.0,64.0,48.0,80.0,100.0,100.0,95.0,87.0,76.0,65.0,67.0,43.0,57.0,22.0,71.0,0.0,1.0
100.0,97.0,40.0,100.0,0.0,65.0,35.0,27.0,39.0,0.0,40.0,38.0,87.0,73.0,87.0,100.0,8.0
36.0,100.0,3.0,76.0,0.0,32.0,27.0,0.0,70.0,6.0,100.0,37.0,91.0,76.0,49.0,70.0,0.0
26.0,76.0,23.0,100.0,52.0,68.0,43.0,30.0,0.0,12.0,49.0,5.0,97.0,0.0,100.0,32.0,2.0
16.0,81.0,40.0,59.0,100.0,90.0,30.0,100.0,48.0,69.0,95.0,59.0,75.0,9.0,0.0,0.0,9.0
59.0,85.0,84.0,100.0,82.0,79.0,60.0,56.0,100.0,48.0,74.0,28.0,37.0,14.0,0.0,0.0,3.0
100.0,100.0,54.0,89.0,18.0,61.0,0.0,27.0,29.0,0.0,83.0,11.0,61.0,35.0,7.0,25.0,6.0
66.0,100.0,25.0,80.0,4.0,53.0,0.0,25.0,26.0,0.0,94.0,0.0,100.0,22.0,45.0,8.0,6.0
33.0,89.0,92.0,100.0,100.0,91.0,63.0,62.0,29.0,31.0,0.0,0.0,6.0,29.0,66.0,38.0,7.0
0.0,91.0,26.0,57.0,52.0,22.0,8.0,0.0,4.0,39.0,4.0,81.0,41.0,100.0,100.0,98.0,5.0
100.0,91.0,63.0,100.0,18.0,89.0,5.0,53.0,42.0,50.0,77.0,32.0,47.0,4.0,0.0,0.0,5.0
100.0,97.0,48.0,100.0,12.0,80.0,9.0,42.0,51.0,53.0,80.0,28.0,49.0,0.0,0.0,5.0,5.0
0.0,78.0,40.0,100.0,80.0,86.0,70.0,42.0,40.0,7.0,14.0,0.0,56.0,18.0,100.0,3.0,2.0
